| 2024:06:28 17:40:57,610 | D | root | web\user\getEmployeeDetail.py 634 get RSP	{'code': 200, 'status': True, 'message': 'Data fetched successfully', 'result': {'Result': [{'Employee_info': {'comp_name': 'Abir Private Company', 'name': 'John Doe', 'mobile_no.': '1234567890', 'email': 'johndoe@gmail.com', 'role_name': 'branchManager', 'createdBy': 'John Doe', 'Cteator_phone': '1234567890'}, 'Month': {'May': {'message': 'the user not attented this months', 'total_working_days': 23, 'total_present': 0, 'total_absent': 23, 'Leave_taken': 0, 'late_Count': 4, 'base_Salary': 80000, 'salary_taken': 0}, 'June': {'message': 'Detail for this month is:-', 'total_working_days': 20, 'total_present': 4, 'total_absent': 16, 'Leave_taken': 1, 'late_Count': 0, 'base_Salary': 80000, 'salary_taken': 15000}}, 'Task': [{'Project': '1', 'project_id': '667120e0bfc4dda06d254e02', 'Date_of_Assign': 1718690016204923, 'List_of_tasks': [{'taskId': '60d5ec3b2ab79a75b8cfe7b1', 'taskName': 'Design database schema', 'dueDate': '2024-06-30'}, {'taskId': '60d5ec3b2ab79a75b8cfe7b2', 'taskName': 'Develop API endpoints', 'dueDate': '2024-07-15'}]}, {'Project': '2', 'project_id': '6673b9baa1d752cec115deb5', 'Date_of_Assign': datetime.datetime(2024, 6, 20, 10, 40, 18, 532000), 'List_of_tasks': [{'taskId': '60d5ec3b2ab79a75b8cfe7b1', 'taskName': 'Design database schema', 'dueDate': '2024-06-30'}, {'taskId': '60d5ec3b2ab79a75b8cfe7b2', 'taskName': 'Develop API endpoints', 'dueDate': '2024-07-15'}]}]}]}}
| 2024:06:28 17:58:23,417 | I | root | <frozen importlib._bootstrap> 488 _call_with_frames_removed All Logs written in ./log/run.log
| 2024:06:28 17:58:24,777 | D | asyncio | Using proactor: IocpProactor
| 2024:06:28 17:58:24,782 | I | root | main.py 92 __init__ APP	Running Tornado Application Port - [ 5166 ]
| 2024:06:28 17:59:16,316 | I | tornado.general | C:\Users\AMAN\OneDrive\Desktop\Project\server\web\user\getEmployeeDetail.py modified; restarting server
| 2024:06:28 17:59:16,853 | I | root | ------
| 2024:06:28 17:59:16,959 | I | root | <frozen importlib._bootstrap> 488 _call_with_frames_removed All Logs written in ./log/run.log
| 2024:06:28 17:59:18,216 | D | asyncio | Using proactor: IocpProactor
| 2024:06:28 17:59:18,220 | I | root | main.py 92 __init__ APP	Running Tornado Application Port - [ 5166 ]
| 2024:06:28 18:00:18,297 | I | tornado.general | C:\Users\AMAN\OneDrive\Desktop\Project\server\web\user\getEmployeeDetail.py modified; restarting server
| 2024:06:28 18:00:18,953 | I | root | ------
| 2024:06:28 18:00:19,074 | I | root | <frozen importlib._bootstrap> 488 _call_with_frames_removed All Logs written in ./log/run.log
| 2024:06:28 18:00:20,215 | D | asyncio | Using proactor: IocpProactor
| 2024:06:28 18:00:20,219 | I | root | main.py 92 __init__ APP	Running Tornado Application Port - [ 5166 ]
| 2024:06:28 18:07:32,267 | I | tornado.general | C:\Users\AMAN\OneDrive\Desktop\Project\server\web\user\getEmployeeDetail.py modified; restarting server
| 2024:06:28 18:07:32,766 | I | root | ------
| 2024:06:28 18:07:32,855 | I | root | <frozen importlib._bootstrap> 488 _call_with_frames_removed All Logs written in ./log/run.log
| 2024:06:28 18:07:33,867 | D | asyncio | Using proactor: IocpProactor
| 2024:06:28 18:07:33,871 | I | root | main.py 92 __init__ APP	Running Tornado Application Port - [ 5166 ]
| 2024:06:28 18:10:16,916 | I | tornado.general | C:\Users\AMAN\OneDrive\Desktop\Project\server\web\user\getEmployeeDetail.py modified; restarting server
| 2024:06:28 18:10:17,569 | I | root | ------
| 2024:06:28 18:10:17,702 | I | root | <frozen importlib._bootstrap> 488 _call_with_frames_removed All Logs written in ./log/run.log
| 2024:06:28 18:10:19,473 | D | asyncio | Using proactor: IocpProactor
| 2024:06:28 18:10:19,479 | I | root | main.py 92 __init__ APP	Running Tornado Application Port - [ 5166 ]
| 2024:06:28 18:11:18,553 | I | tornado.general | C:\Users\AMAN\OneDrive\Desktop\Project\server\web\user\getEmployeeDetail.py modified; restarting server
| 2024:06:28 18:11:19,591 | I | root | ------
| 2024:06:28 18:11:19,889 | I | root | <frozen importlib._bootstrap> 488 _call_with_frames_removed All Logs written in ./log/run.log
| 2024:06:28 18:11:22,372 | D | asyncio | Using proactor: IocpProactor
| 2024:06:28 18:11:22,378 | I | root | main.py 92 __init__ APP	Running Tornado Application Port - [ 5166 ]
| 2024:06:28 18:12:04,437 | I | tornado.general | C:\Users\AMAN\OneDrive\Desktop\Project\server\web\user\getEmployeeDetail.py modified; restarting server
| 2024:06:28 18:12:05,405 | I | root | ------
| 2024:06:28 18:12:05,579 | I | root | <frozen importlib._bootstrap> 488 _call_with_frames_removed All Logs written in ./log/run.log
| 2024:06:28 18:12:08,065 | D | asyncio | Using proactor: IocpProactor
| 2024:06:28 18:12:08,073 | I | root | main.py 92 __init__ APP	Running Tornado Application Port - [ 5166 ]
| 2024:06:28 18:12:17,973 | D | root | web\user\getEmployeeDetail.py 649 get RSP	{'code': 200, 'status': True, 'message': 'Data fetched successfully', 'result': {'Result': [{'Employee_info': {'comp_name': 'Abir Private Company', 'name': 'John Doe', 'mobile_no.': '1234567890', 'email': 'johndoe@gmail.com', 'role_name': 'branchManager', 'createdBy': 'John Doe', 'Cteator_phone': '1234567890'}, 'Month': {'May': {'attendance': ['The user has not attended this month'], 'salary': ['Base Salary: 80000', 'Final Salary: 15000']}, 'June': {'attendance': ['The user has not attended this month'], 'salary': ['Salary is not generated for this month']}}, 'Task': [{'Project': '1', 'project_id': '667120e0bfc4dda06d254e02', 'Date_of_Assign': 1718690016204923, 'List_of_tasks': [{'taskId': '60d5ec3b2ab79a75b8cfe7b1', 'taskName': 'Design database schema', 'dueDate': '2024-06-30'}, {'taskId': '60d5ec3b2ab79a75b8cfe7b2', 'taskName': 'Develop API endpoints', 'dueDate': '2024-07-15'}]}, {'Project': '2', 'project_id': '6673b9baa1d752cec115deb5', 'Date_of_Assign': datetime.datetime(2024, 6, 20, 10, 40, 18, 532000), 'List_of_tasks': [{'taskId': '60d5ec3b2ab79a75b8cfe7b1', 'taskName': 'Design database schema', 'dueDate': '2024-06-30'}, {'taskId': '60d5ec3b2ab79a75b8cfe7b2', 'taskName': 'Develop API endpoints', 'dueDate': '2024-07-15'}]}]}]}}
| 2024:06:28 18:12:17,976 | I | tornado.access | 200 GET /v1/api/get/getemployeeDetail (::1) 267.29ms
| 2024:06:28 18:13:16,130 | I | tornado.general | C:\Users\AMAN\OneDrive\Desktop\Project\server\web\user\getEmployeeDetail.py modified; restarting server
| 2024:06:28 18:13:16,973 | I | root | ------
| 2024:06:28 18:13:17,158 | I | root | <frozen importlib._bootstrap> 488 _call_with_frames_removed All Logs written in ./log/run.log
| 2024:06:28 18:13:20,629 | D | asyncio | Using proactor: IocpProactor
| 2024:06:28 18:13:20,637 | I | root | main.py 92 __init__ APP	Running Tornado Application Port - [ 5166 ]
| 2024:06:28 18:13:37,196 | I | tornado.general | C:\Users\AMAN\OneDrive\Desktop\Project\server\web\user\getEmployeeDetail.py modified; restarting server
| 2024:06:28 18:13:38,343 | I | root | ------
| 2024:06:28 18:13:38,534 | I | root | <frozen importlib._bootstrap> 488 _call_with_frames_removed All Logs written in ./log/run.log
| 2024:06:28 18:13:40,719 | D | asyncio | Using proactor: IocpProactor
| 2024:06:28 18:13:40,726 | I | root | main.py 92 __init__ APP	Running Tornado Application Port - [ 5166 ]
| 2024:06:28 18:13:45,555 | D | root | web\user\getEmployeeDetail.py 649 get RSP	{'code': 200, 'status': True, 'message': 'Data fetched successfully', 'result': {'Result': [{'Employee_info': {'comp_name': 'Abir Private Company', 'name': 'John Doe', 'mobile_no.': '1234567890', 'email': 'johndoe@gmail.com', 'role_name': 'branchManager', 'createdBy': 'John Doe', 'Cteator_phone': '1234567890'}, 'Month': {'May': {'attendance': ['The user has not attended this month'], 'salary': ['Base Salary: 80000', 'Final Salary: 15000']}, 'June': {'attendance': ['The user has not attended this month'], 'salary': ['Salary is not generated for this month']}}, 'Task': [{'Project': '1', 'project_id': '667120e0bfc4dda06d254e02', 'Date_of_Assign': 1718690016204923, 'List_of_tasks': [{'taskId': '60d5ec3b2ab79a75b8cfe7b1', 'taskName': 'Design database schema', 'dueDate': '2024-06-30'}, {'taskId': '60d5ec3b2ab79a75b8cfe7b2', 'taskName': 'Develop API endpoints', 'dueDate': '2024-07-15'}]}, {'Project': '2', 'project_id': '6673b9baa1d752cec115deb5', 'Date_of_Assign': datetime.datetime(2024, 6, 20, 10, 40, 18, 532000), 'List_of_tasks': [{'taskId': '60d5ec3b2ab79a75b8cfe7b1', 'taskName': 'Design database schema', 'dueDate': '2024-06-30'}, {'taskId': '60d5ec3b2ab79a75b8cfe7b2', 'taskName': 'Develop API endpoints', 'dueDate': '2024-07-15'}]}]}]}}
| 2024:06:28 18:13:45,557 | I | tornado.access | 200 GET /v1/api/get/getemployeeDetail (::1) 374.00ms
| 2024:06:28 18:16:20,281 | I | tornado.general | C:\Users\AMAN\OneDrive\Desktop\Project\server\web\user\getEmployeeDetail.py modified; restarting server
| 2024:06:28 18:16:21,546 | I | root | ------
| 2024:06:28 18:16:21,802 | I | root | <frozen importlib._bootstrap> 488 _call_with_frames_removed All Logs written in ./log/run.log
| 2024:06:28 18:16:23,889 | D | asyncio | Using proactor: IocpProactor
| 2024:06:28 18:16:23,896 | I | root | main.py 92 __init__ APP	Running Tornado Application Port - [ 5166 ]
| 2024:06:28 18:16:34,218 | D | root | web\user\getEmployeeDetail.py 649 get RSP	{'code': 200, 'status': True, 'message': 'Data fetched successfully', 'result': {'Result': [{'Employee_info': {'comp_name': 'Abir Private Company', 'name': 'John Doe', 'mobile_no.': '1234567890', 'email': 'johndoe@gmail.com', 'role_name': 'branchManager', 'createdBy': 'John Doe', 'Cteator_phone': '1234567890'}, 'Month': {'May': {'attendance': ['The user has not attended this month'], 'salary': ['Base Salary: 80000', 'Final Salary: 15000']}, 'June': {'attendance': ['The user has not attended this month'], 'salary': ['Salary is not generated for this month']}}, 'Task': [{'Project': '1', 'project_id': '667120e0bfc4dda06d254e02', 'Date_of_Assign': 1718690016204923, 'List_of_tasks': [{'taskId': '60d5ec3b2ab79a75b8cfe7b1', 'taskName': 'Design database schema', 'dueDate': '2024-06-30'}, {'taskId': '60d5ec3b2ab79a75b8cfe7b2', 'taskName': 'Develop API endpoints', 'dueDate': '2024-07-15'}]}, {'Project': '2', 'project_id': '6673b9baa1d752cec115deb5', 'Date_of_Assign': datetime.datetime(2024, 6, 20, 10, 40, 18, 532000), 'List_of_tasks': [{'taskId': '60d5ec3b2ab79a75b8cfe7b1', 'taskName': 'Design database schema', 'dueDate': '2024-06-30'}, {'taskId': '60d5ec3b2ab79a75b8cfe7b2', 'taskName': 'Develop API endpoints', 'dueDate': '2024-07-15'}]}]}]}}
| 2024:06:28 18:16:34,223 | I | tornado.access | 200 GET /v1/api/get/getemployeeDetail (::1) 247.34ms
| 2024:06:28 18:17:12,482 | I | tornado.general | C:\Users\AMAN\OneDrive\Desktop\Project\server\web\user\getEmployeeDetail.py modified; restarting server
| 2024:06:28 18:17:13,531 | I | root | ------
| 2024:06:28 18:17:13,815 | I | root | <frozen importlib._bootstrap> 488 _call_with_frames_removed All Logs written in ./log/run.log
| 2024:06:28 18:17:15,897 | D | asyncio | Using proactor: IocpProactor
| 2024:06:28 18:17:15,904 | I | root | main.py 92 __init__ APP	Running Tornado Application Port - [ 5166 ]
| 2024:06:28 18:17:22,879 | D | root | web\user\getEmployeeDetail.py 649 get RSP	{'code': 200, 'status': True, 'message': 'Data fetched successfully', 'result': {'Result': [{'Employee_info': {'comp_name': 'Abir Private Company', 'name': 'John Doe', 'mobile_no.': '1234567890', 'email': 'johndoe@gmail.com', 'role_name': 'branchManager', 'createdBy': 'John Doe', 'Cteator_phone': '1234567890'}, 'Month': {'May': {'attendance': ['The user has not attended this month'], 'salary': ['Base Salary: 80000', 'Final Salary: 15000']}, 'June': {'attendance': ['Late count: 4', 'Leave count: 0', 'Total present days: 4'], 'salary': ['Salary is not generated for this month']}}, 'Task': [{'Project': '1', 'project_id': '667120e0bfc4dda06d254e02', 'Date_of_Assign': 1718690016204923, 'List_of_tasks': [{'taskId': '60d5ec3b2ab79a75b8cfe7b1', 'taskName': 'Design database schema', 'dueDate': '2024-06-30'}, {'taskId': '60d5ec3b2ab79a75b8cfe7b2', 'taskName': 'Develop API endpoints', 'dueDate': '2024-07-15'}]}, {'Project': '2', 'project_id': '6673b9baa1d752cec115deb5', 'Date_of_Assign': datetime.datetime(2024, 6, 20, 10, 40, 18, 532000), 'List_of_tasks': [{'taskId': '60d5ec3b2ab79a75b8cfe7b1', 'taskName': 'Design database schema', 'dueDate': '2024-06-30'}, {'taskId': '60d5ec3b2ab79a75b8cfe7b2', 'taskName': 'Develop API endpoints', 'dueDate': '2024-07-15'}]}]}]}}
| 2024:06:28 18:17:22,881 | I | tornado.access | 200 GET /v1/api/get/getemployeeDetail (::1) 291.22ms
| 2024:06:28 18:18:06,460 | I | tornado.general | C:\Users\AMAN\OneDrive\Desktop\Project\server\web\user\getEmployeeDetail.py modified; restarting server
| 2024:06:28 18:18:07,601 | I | root | ------
| 2024:06:28 18:18:07,815 | I | root | <frozen importlib._bootstrap> 488 _call_with_frames_removed All Logs written in ./log/run.log
| 2024:06:28 18:18:10,185 | D | asyncio | Using proactor: IocpProactor
| 2024:06:28 18:18:10,193 | I | root | main.py 92 __init__ APP	Running Tornado Application Port - [ 5166 ]
| 2024:06:28 18:18:14,451 | D | root | web\user\getEmployeeDetail.py 649 get RSP	{'code': 200, 'status': True, 'message': 'Data fetched successfully', 'result': {'Result': [{'Employee_info': {'comp_name': 'Abir Private Company', 'name': 'John Doe', 'mobile_no.': '1234567890', 'email': 'johndoe@gmail.com', 'role_name': 'branchManager', 'createdBy': 'John Doe', 'Cteator_phone': '1234567890'}, 'Month': {'May': {'attendance': ['The user has not attended this month'], 'salary': ['Salary is not generated for this month']}, 'June': {'attendance': ['Late count: 4', 'Leave count: 0', 'Total present days: 4'], 'salary': ['Base Salary: 80000', 'Final Salary: 15000']}}, 'Task': [{'Project': '1', 'project_id': '667120e0bfc4dda06d254e02', 'Date_of_Assign': 1718690016204923, 'List_of_tasks': [{'taskId': '60d5ec3b2ab79a75b8cfe7b1', 'taskName': 'Design database schema', 'dueDate': '2024-06-30'}, {'taskId': '60d5ec3b2ab79a75b8cfe7b2', 'taskName': 'Develop API endpoints', 'dueDate': '2024-07-15'}]}, {'Project': '2', 'project_id': '6673b9baa1d752cec115deb5', 'Date_of_Assign': datetime.datetime(2024, 6, 20, 10, 40, 18, 532000), 'List_of_tasks': [{'taskId': '60d5ec3b2ab79a75b8cfe7b1', 'taskName': 'Design database schema', 'dueDate': '2024-06-30'}, {'taskId': '60d5ec3b2ab79a75b8cfe7b2', 'taskName': 'Develop API endpoints', 'dueDate': '2024-07-15'}]}]}]}}
| 2024:06:28 18:18:14,453 | I | tornado.access | 200 GET /v1/api/get/getemployeeDetail (::1) 524.60ms
| 2024:06:28 18:19:23,683 | D | root | web\user\getEmployeeDetail.py 649 get RSP	{'code': 200, 'status': True, 'message': 'Data fetched successfully', 'result': {'Result': [{'Employee_info': {'comp_name': 'Abir Private Company', 'name': 'Ram Chandra', 'mobile_no.': '1234567890', 'email': 'ramchandra@gmail.com', 'role_name': 'branchManager', 'createdBy': 'John Doe', 'Cteator_phone': '1234567890'}, 'Month': {'May': {'attendance': ['The user has not attended this month'], 'salary': ['Salary is not generated for this month']}, 'June': {'attendance': ['The user has not attended this month'], 'salary': ['Salary is not generated for this month']}}, 'Task': ['the user is not assigned with any projects the user is still on bench']}]}}
| 2024:06:28 18:19:23,684 | I | tornado.access | 200 GET /v1/api/get/getemployeeDetail (::1) 20.94ms
| 2024:06:28 18:20:11,241 | I | tornado.general | C:\Users\AMAN\OneDrive\Desktop\Project\server\web\user\getEmployeeDetail.py modified; restarting server
| 2024:06:28 18:20:12,199 | I | root | ------
| 2024:06:28 18:20:12,415 | I | root | <frozen importlib._bootstrap> 488 _call_with_frames_removed All Logs written in ./log/run.log
| 2024:06:28 18:20:14,811 | D | asyncio | Using proactor: IocpProactor
| 2024:06:28 18:20:14,821 | I | root | main.py 92 __init__ APP	Running Tornado Application Port - [ 5166 ]
| 2024:06:28 18:20:25,033 | D | root | web\user\getEmployeeDetail.py 634 get RSP	{'code': 200, 'status': True, 'message': 'Data fetched successfully', 'result': {'Result': [{'Employee_info': {'comp_name': 'Abir Private Company', 'name': 'John Doe', 'mobile_no.': '1234567890', 'email': 'johndoe@gmail.com', 'role_name': 'branchManager', 'createdBy': 'John Doe', 'Cteator_phone': '1234567890'}, 'Month': {'May': {'message': 'the user not attented this months', 'total_working_days': 23, 'total_present': 0, 'total_absent': 23, 'Leave_taken': 0, 'late_Count': 4, 'base_Salary': 80000, 'salary_taken': 0}, 'June': {'message': 'Detail for this month is:-', 'total_working_days': 20, 'total_present': 4, 'total_absent': 16, 'Leave_taken': 1, 'late_Count': 0, 'base_Salary': 80000, 'salary_taken': 15000}}, 'Task': [{'Project': '1', 'project_id': '667120e0bfc4dda06d254e02', 'Date_of_Assign': 1718690016204923, 'List_of_tasks': [{'taskId': '60d5ec3b2ab79a75b8cfe7b1', 'taskName': 'Design database schema', 'dueDate': '2024-06-30'}, {'taskId': '60d5ec3b2ab79a75b8cfe7b2', 'taskName': 'Develop API endpoints', 'dueDate': '2024-07-15'}]}, {'Project': '2', 'project_id': '6673b9baa1d752cec115deb5', 'Date_of_Assign': datetime.datetime(2024, 6, 20, 10, 40, 18, 532000), 'List_of_tasks': [{'taskId': '60d5ec3b2ab79a75b8cfe7b1', 'taskName': 'Design database schema', 'dueDate': '2024-06-30'}, {'taskId': '60d5ec3b2ab79a75b8cfe7b2', 'taskName': 'Develop API endpoints', 'dueDate': '2024-07-15'}]}]}]}}
| 2024:06:28 18:20:25,036 | I | tornado.access | 200 GET /v1/api/get/getemployeeDetail (::1) 332.11ms
| 2024:06:28 18:29:01,365 | I | tornado.general | C:\Users\AMAN\OneDrive\Desktop\Project\server\web\user\getEmployeeDetail.py modified; restarting server
| 2024:06:28 18:29:01,843 | I | root | ------
| 2024:06:28 18:29:01,936 | I | root | <frozen importlib._bootstrap> 488 _call_with_frames_removed All Logs written in ./log/run.log
| 2024:06:28 18:29:03,033 | D | asyncio | Using proactor: IocpProactor
| 2024:06:28 18:29:03,037 | I | root | main.py 92 __init__ APP	Running Tornado Application Port - [ 5166 ]
| 2024:06:28 18:29:17,847 | D | root | web\user\getEmployeeDetail.py 649 get RSP	{'code': 200, 'status': True, 'message': 'Data fetched successfully', 'result': {'Result': [{'Employee_info': {'comp_name': 'Abir Private Company', 'name': 'John Doe', 'mobile_no.': '1234567890', 'email': 'johndoe@gmail.com', 'role_name': 'branchManager', 'createdBy': 'John Doe', 'Cteator_phone': '1234567890'}, 'Month': {'May': {'attendance': ['The user has not attended this month'], 'salary': ['Salary is not generated for this month']}, 'June': {'attendance': ['Late count: 4', 'Leave count: 0', 'Total present days: 4'], 'salary': ['Base Salary: 80000', 'Final Salary: 15000']}}, 'Task': [{'Project': '1', 'project_id': '667120e0bfc4dda06d254e02', 'Date_of_Assign': 1718690016204923, 'List_of_tasks': [{'taskId': '60d5ec3b2ab79a75b8cfe7b1', 'taskName': 'Design database schema', 'dueDate': '2024-06-30'}, {'taskId': '60d5ec3b2ab79a75b8cfe7b2', 'taskName': 'Develop API endpoints', 'dueDate': '2024-07-15'}]}, {'Project': '2', 'project_id': '6673b9baa1d752cec115deb5', 'Date_of_Assign': datetime.datetime(2024, 6, 20, 10, 40, 18, 532000), 'List_of_tasks': [{'taskId': '60d5ec3b2ab79a75b8cfe7b1', 'taskName': 'Design database schema', 'dueDate': '2024-06-30'}, {'taskId': '60d5ec3b2ab79a75b8cfe7b2', 'taskName': 'Develop API endpoints', 'dueDate': '2024-07-15'}]}]}]}}
| 2024:06:28 18:29:17,848 | I | tornado.access | 200 GET /v1/api/get/getemployeeDetail (::1) 111.70ms
| 2024:06:28 18:31:32,573 | I | tornado.general | C:\Users\AMAN\OneDrive\Desktop\Project\server\web\user\getEmployeeDetail.py modified; restarting server
| 2024:06:28 18:31:33,080 | I | root | ------
| 2024:06:28 18:31:33,166 | I | root | <frozen importlib._bootstrap> 488 _call_with_frames_removed All Logs written in ./log/run.log
| 2024:06:28 18:31:34,155 | D | asyncio | Using proactor: IocpProactor
| 2024:06:28 18:31:34,159 | I | root | main.py 92 __init__ APP	Running Tornado Application Port - [ 5166 ]
| 2024:06:28 18:31:49,705 | I | tornado.general | C:\Users\AMAN\OneDrive\Desktop\Project\server\web\user\getEmployeeDetail.py modified; restarting server
| 2024:06:28 18:31:50,202 | I | root | ------
| 2024:06:28 18:31:50,290 | I | root | <frozen importlib._bootstrap> 488 _call_with_frames_removed All Logs written in ./log/run.log
| 2024:06:28 18:31:51,370 | D | asyncio | Using proactor: IocpProactor
| 2024:06:28 18:31:51,374 | I | root | main.py 92 __init__ APP	Running Tornado Application Port - [ 5166 ]
| 2024:06:28 18:31:54,048 | D | root | web\user\getEmployeeDetail.py 651 get RSP	{'code': 200, 'status': True, 'message': 'Data fetched successfully', 'result': {'Result': [{'Employee_info': {'comp_name': 'Abir Private Company', 'name': 'John Doe', 'mobile_no.': '1234567890', 'email': 'johndoe@gmail.com', 'role_name': 'branchManager', 'createdBy': 'John Doe', 'Cteator_phone': '1234567890'}, 'Month': {'May': {'attendance': ['The user has not attended this month'], 'salary': ['Salary is not generated for this month']}, 'June': {'attendance': ['total working day:30', 'Late count: 4', 'Leave count: 0', 'Total present days: 4'], 'salary': ['Base Salary: 80000', 'Final Salary: 15000']}}, 'Task': [{'Project': '1', 'project_id': '667120e0bfc4dda06d254e02', 'Date_of_Assign': 1718690016204923, 'List_of_tasks': [{'taskId': '60d5ec3b2ab79a75b8cfe7b1', 'taskName': 'Design database schema', 'dueDate': '2024-06-30'}, {'taskId': '60d5ec3b2ab79a75b8cfe7b2', 'taskName': 'Develop API endpoints', 'dueDate': '2024-07-15'}]}, {'Project': '2', 'project_id': '6673b9baa1d752cec115deb5', 'Date_of_Assign': datetime.datetime(2024, 6, 20, 10, 40, 18, 532000), 'List_of_tasks': [{'taskId': '60d5ec3b2ab79a75b8cfe7b1', 'taskName': 'Design database schema', 'dueDate': '2024-06-30'}, {'taskId': '60d5ec3b2ab79a75b8cfe7b2', 'taskName': 'Develop API endpoints', 'dueDate': '2024-07-15'}]}]}]}}
| 2024:06:28 18:31:54,049 | I | tornado.access | 200 GET /v1/api/get/getemployeeDetail (::1) 116.69ms
| 2024:06:28 18:32:58,416 | I | tornado.general | C:\Users\AMAN\OneDrive\Desktop\Project\server\web\user\getEmployeeDetail.py modified; restarting server
| 2024:06:28 18:32:58,956 | I | root | ------
| 2024:06:28 18:32:59,055 | I | root | <frozen importlib._bootstrap> 488 _call_with_frames_removed All Logs written in ./log/run.log
| 2024:06:28 18:33:00,168 | D | asyncio | Using proactor: IocpProactor
| 2024:06:28 18:33:00,174 | I | root | main.py 92 __init__ APP	Running Tornado Application Port - [ 5166 ]
